ano_campeonato;rodada;time;adversário;gols_pro;gols_contra;pontos;vitoria;derrota;empate;pontos_acum;vitorias_acum;empates_acum;derrotas_acum;gols_pro_acum;gols_contra_acum;saldo_gols_acum;classificacao_1o_turno;classificacao_final
2006;2;Atlético-PR;Paraná;4.0;0.0;3;1;0;0;3;1;0;0;4.0;0.0;4.0;14.0;
2006;2;Atlético-PR;Fluminense;1.0;2.0;0;0;1;0;3;1;0;1;5.0;2.0;3.0;14.0;
2006;3;Atlético-PR;Santos;0.0;2.0;0;0;1;0;3;1;0;2;5.0;4.0;1.0;14.0;
2006;4;Atlético-PR;Botafogo;4.0;0.0;3;1;0;0;6;2;0;2;9.0;4.0;5.0;14.0;
2006;5;Atlético-PR;Vasco da Gama;6.0;4.0;3;1;0;0;9;3;0;2;15.0;8.0;7.0;14.0;
2006;6;Atlético-PR;Internacional;1.0;2.0;0;0;1;0;9;3;0;3;16.0;10.0;6.0;14.0;
2006;7;Atlético-PR;Santa Cruz;2.0;1.0;3;1;0;0;12;4;0;3;18.0;11.0;7.0;14.0;
2006;8;Atlético-PR;Goiás;2.0;3.0;0;0;1;0;12;4;0;4;20.0;14.0;6.0;14.0;
2006;9;Atlético-PR;São Caetano;1.0;2.0;0;0;1;0;12;4;0;5;21.0;16.0;5.0;14.0;
2006;10;Atlético-PR;Juventude;1.0;0.0;3;1;0;0;15;5;0;5;22.0;16.0;6.0;14.0;
2006;11;Atlético-PR;Flamengo;0.0;1.0;0;0;1;0;15;5;0;6;22.0;17.0;5.0;14.0;
2006;12;Atlético-PR;Cruzeiro;1.0;1.0;1;0;0;1;16;5;1;6;23.0;18.0;5.0;14.0;
2006;13;Atlético-PR;Palmeiras;2.0;0.0;3;1;0;0;19;6;1;6;25.0;18.0;7.0;14.0;
2006;14;Atlético-PR;Fortaleza;0.0;0.0;1;0;0;1;20;6;2;6;25.0;18.0;7.0;14.0;
2006;15;Atlético-PR;Corinthians;1.0;2.0;0;0;1;0;20;6;2;7;26.0;20.0;6.0;14.0;
2006;16;Atlético-PR;Paraná;1.0;2.0;0;0;1;0;20;6;2;8;27.0;22.0;5.0;14.0;
2006;16;Atlético-PR;Vasco da Gama;1.0;2.0;0;0;1;0;20;6;2;9;28.0;24.0;4.0;14.0;
2006;17;Atlético-PR;Flamengo;1.0;0.0;3;1;0;0;23;7;2;9;29.0;24.0;5.0;14.0;
2006;19;Atlético-PR;Corinthians;1.0;2.0;0;0;1;0;23;7;2;10;30.0;26.0;4.0;14.0;
2006;20;Atlético-PR;Grêmio;0.0;2.0;0;0;1;0;23;7;2;11;30.0;28.0;2.0;14.0;
2006;22;Atlético-PR;São Paulo;0.0;0.0;1;0;0;1;24;7;3;11;30.0;28.0;2.0;14.0;
2006;23;Atlético-PR;Grêmio;2.0;3.0;0;0;1;0;24;7;3;12;32.0;31.0;1.0;14.0;
2006;23;Atlético-PR;Figueirense FC;3.0;3.0;1;0;0;1;25;7;4;12;35.0;34.0;1.0;14.0;
2006;24;Atlético-PR;Ponte Preta;3.0;0.0;3;1;0;0;28;8;4;12;38.0;34.0;4.0;14.0;
2006;24;Atlético-PR;Fluminense;2.0;1.0;3;1;0;0;31;9;4;12;40.0;35.0;5.0;14.0;
2006;26;Atlético-PR;Santos;2.0;1.0;3;1;0;0;34;10;4;12;42.0;36.0;6.0;14.0;
2006;27;Atlético-PR;Botafogo;0.0;5.0;0;0;1;0;34;10;4;13;42.0;41.0;1.0;14.0;
2006;29;Atlético-PR;Santa Cruz;2.0;1.0;3;1;0;0;37;11;4;13;44.0;42.0;2.0;14.0;
