ano_campeonato,rodada,time_mandante,time_visitante,gols_mandante,gols_visitante
2006,1,Atlético-PR,Fluminense,1.0,2.0
2006,1,Botafogo,Fortaleza,1.0,0.0
2006,1,Goiás,Santos,0.0,0.0
2006,1,Grêmio,Corinthians,2.0,0.0
2006,1,Juventude,Paraná,1.0,0.0
2006,1,Palmeiras,Ponte Preta,2.0,3.0
2006,1,Santa Cruz,Figueirense FC,0.0,0.0
2006,1,São Caetano,Cruzeiro,2.0,1.0
2006,1,São Paulo,Flamengo,1.0,0.0
2006,1,Vasco da Gama,Internacional,1.0,1.0
2006,2,Corinthians,São Caetano,3.0,0.0
2006,2,Cruzeiro,Grêmio,3.0,1.0
2006,2,Figueirense FC,Palmeiras,6.0,1.0
2006,2,Flamengo,Juventude,3.0,1.0
2006,2,Fluminense,Goiás,1.0,0.0
2006,2,Fortaleza,São Paulo,1.0,0.0
2006,2,Internacional,Santa Cruz,1.0,0.0
2006,2,Paraná,Botafogo,0.0,0.0
2006,2,Ponte Preta,Vasco da Gama,1.0,2.0
2006,2,Santos,Atlético-PR,2.0,0.0
2006,3,Botafogo,Atlético-PR,0.0,4.0
2006,3,Figueirense FC,Cruzeiro,0.0,2.0
2006,3,Fortaleza,São Caetano,2.0,1.0
2006,3,Internacional,Flamengo,1.0,0.0
2006,3,Juventude,Goiás,1.0,1.0
2006,3,Palmeiras,Santos,1.0,2.0
2006,3,Paraná,Grêmio,5.0,2.0
2006,3,Ponte Preta,Corinthians,3.0,2.0
2006,3,São Paulo,Santa Cruz,4.0,0.0
2006,3,Vasco da Gama,Fluminense,1.0,1.0
2006,4,Atlético-PR,Internacional,1.0,2.0
2006,4,Corinthians,São Paulo,1.0,3.0
2006,4,Cruzeiro,Juventude,2.0,0.0
2006,4,Flamengo,Botafogo,1.0,0.0
2006,4,Fluminense,Paraná,2.0,1.0
2006,4,Goiás,Figueirense FC,2.0,1.0
2006,4,Grêmio,Vasco da Gama,1.0,2.0
2006,4,Santa Cruz,Ponte Preta,1.0,1.0
2006,4,Santos,Fortaleza,2.0,0.0
2006,4,São Caetano,Palmeiras,2.0,0.0
2006,5,Botafogo,Grêmio,2.0,2.0
2006,5,Figueirense FC,Fluminense,1.0,0.0
2006,5,Flamengo,Fortaleza,0.0,0.0
2006,5,Goiás,Vasco da Gama,2.0,0.0
2006,5,Internacional,São Paulo,3.0,1.0
2006,5,Palmeiras,Cruzeiro,1.0,1.0
2006,5,Paraná,Corinthians,1.0,2.0
2006,5,Santa Cruz,Atlético-PR,1.0,2.0
2006,5,Santos,Ponte Preta,3.0,1.0
2006,5,São Caetano,Juventude,0.0,2.0
2006,6,Atlético-PR,Goiás,2.0,3.0
2006,6,Cruzeiro,Flamengo,2.0,1.0
2006,6,Fluminense,Santos,1.0,0.0
2006,6,Fortaleza,Paraná,1.0,1.0
2006,6,Internacional,Figueirense FC,2.0,4.0
2006,6,Juventude,Botafogo,1.0,0.0
2006,6,Palmeiras,Santa Cruz,2.0,1.0
2006,6,Ponte Preta,Grêmio,1.0,1.0
2006,6,São Paulo,São Caetano,1.0,0.0
2006,6,Vasco da Gama,Corinthians,2.0,4.0
2006,7,Botafogo,Vasco da Gama,4.0,1.0
2006,7,Corinthians,Internacional,0.0,1.0
2006,7,Cruzeiro,Ponte Preta,5.0,1.0
2006,7,Flamengo,Santos,2.0,2.0
2006,7,Fortaleza,Fluminense,2.0,5.0
2006,7,Grêmio,Goiás,2.0,0.0
2006,7,Juventude,Santa Cruz,4.0,1.0
2006,7,Paraná,Figueirense FC,0.0,0.0
2006,7,São Caetano,Atlético-PR,2.0,1.0
2006,7,São Paulo,Palmeiras,4.0,1.0
2006,8,Atlético-PR,Juventude,1.0,0.0
2006,8,Figueirense FC,Fortaleza,0.0,0.0
2006,8,Fluminense,Flamengo,1.0,0.0
2006,8,Goiás,São Caetano,2.0,1.0
2006,8,Internacional,Cruzeiro,1.0,1.0
2006,8,Palmeiras,Grêmio,0.0,1.0
2006,8,Ponte Preta,Paraná,2.0,5.0
2006,8,Santa Cruz,Botafogo,1.0,1.0
2006,8,Santos,Corinthians,2.0,0.0
2006,8,Vasco da Gama,São Paulo,1.0,1.0
2006,9,Botafogo,Figueirense FC,2.0,3.0
2006,9,Corinthians,Goiás,0.0,1.0
2006,9,Cruzeiro,Atlético-PR,1.0,1.0
2006,9,Flamengo,Palmeiras,2.0,1.0
2006,9,Fortaleza,Vasco da Gama,1.0,1.0
2006,9,Grêmio,Santos,1.0,0.0
2006,9,Juventude,Ponte Preta,0.0,1.0
2006,9,Paraná,Santa Cruz,3.0,0.0
2006,9,São Caetano,Internacional,1.0,1.0
2006,9,São Paulo,Fluminense,1.0,0.0
2006,10,Atlético-PR,Palmeiras,2.0,0.0
2006,10,Corinthians,Flamengo,0.0,2.0
2006,10,Fluminense,Internacional,2.0,3.0
2006,10,Fortaleza,Cruzeiro,0.0,2.0
2006,10,Goiás,Paraná,1.0,2.0
2006,10,Grêmio,São Caetano,1.0,1.0
2006,10,Juventude,São Paulo,1.0,1.0
2006,10,Ponte Preta,Figueirense FC,3.0,0.0
2006,10,Santos,Botafogo,0.0,0.0
2006,10,Vasco da Gama,Santa Cruz,2.0,1.0
2006,11,Atlético-PR,Fortaleza,0.0,0.0
2006,11,Cruzeiro,Corinthians,2.0,0.0
2006,11,Figueirense FC,Santos,2.0,1.0
2006,11,Flamengo,Paraná,1.0,4.0
2006,11,Fluminense,Juventude,3.0,2.0
2006,11,Internacional,Ponte Preta,2.0,0.0
2006,11,Palmeiras,Vasco da Gama,4.0,2.0
2006,11,Santa Cruz,Goiás,2.0,1.0
2006,11,São Caetano,Botafogo,1.0,1.0
2006,11,São Paulo,Grêmio,2.0,1.0
2006,12,Botafogo,Ponte Preta,4.0,1.0
2006,12,Cruzeiro,Goiás,0.0,0.0
2006,12,Flamengo,Vasco da Gama,0.0,1.0
2006,12,Fortaleza,Santa Cruz,1.0,4.0
2006,12,Grêmio,Fluminense,4.0,4.0
2006,12,Juventude,Internacional,2.0,0.0
2006,12,Palmeiras,Corinthians,1.0,0.0
2006,12,Paraná,Atlético-PR,2.0,1.0
2006,12,São Caetano,Santos,2.0,0.0
2006,12,São Paulo,Figueirense FC,2.0,1.0
2006,13,Corinthians,Fortaleza,2.0,2.0
2006,13,Figueirense FC,Grêmio,2.0,0.0
2006,13,Fluminense,São Caetano,2.0,2.0
2006,13,Goiás,Palmeiras,1.0,3.0
2006,13,Internacional,Botafogo,0.0,0.0
2006,13,Paraná,Cruzeiro,1.0,0.0
2006,13,Ponte Preta,São Paulo,1.0,3.0
2006,13,Santa Cruz,Flamengo,3.0,0.0
2006,13,Santos,Juventude,3.0,2.0
2006,13,Vasco da Gama,Atlético-PR,2.0,1.0
2006,14,Atlético-PR,Flamengo,1.0,0.0
2006,14,Fluminense,Botafogo,1.0,1.0
2006,14,Goiás,Fortaleza,1.0,1.0
2006,14,Internacional,Grêmio,0.0,0.0
2006,14,Juventude,Figueirense FC,1.0,0.0
2006,14,Palmeiras,Paraná,4.0,2.0
2006,14,Santa Cruz,Corinthians,1.0,0.0
2006,14,São Caetano,Ponte Preta,1.0,1.0
2006,14,São Paulo,Santos,0.0,4.0
2006,14,Vasco da Gama,Cruzeiro,1.0,0.0
2006,15,Botafogo,São Paulo,1.0,1.0
2006,15,Corinthians,Atlético-PR,2.0,1.0
2006,15,Cruzeiro,Santa Cruz,3.0,3.0
2006,15,Figueirense FC,São Caetano,1.0,1.0
2006,15,Flamengo,Goiás,1.0,0.0
2006,15,Fortaleza,Palmeiras,0.0,0.0
2006,15,Grêmio,Juventude,1.0,0.0
2006,15,Paraná,Vasco da Gama,2.0,1.0
2006,15,Ponte Preta,Fluminense,3.0,0.0
2006,15,Santos,Internacional,2.0,1.0
2006,16,Botafogo,Palmeiras,1.0,3.0
2006,16,Corinthians,Figueirense FC,1.0,3.0
2006,16,Cruzeiro,Fluminense,2.0,3.0
2006,16,Flamengo,Ponte Preta,0.0,0.0
2006,16,Fortaleza,Internacional,1.0,2.0
2006,16,Grêmio,Atlético-PR,2.0,0.0
2006,16,Juventude,Vasco da Gama,0.0,0.0
2006,16,Paraná,Santos,1.0,1.0
2006,16,São Caetano,Santa Cruz,2.0,1.0
2006,16,São Paulo,Goiás,2.0,1.0
2006,17,Atlético-PR,São Paulo,0.0,0.0
2006,17,Figueirense FC,Flamengo,1.0,1.0
2006,17,Fluminense,Corinthians,1.0,2.0
2006,17,Goiás,Botafogo,2.0,2.0
2006,17,Internacional,Paraná,3.0,2.0
2006,17,Palmeiras,Juventude,1.0,1.0
2006,17,Ponte Preta,Fortaleza,1.0,3.0
2006,17,Santa Cruz,Grêmio,2.0,4.0
2006,17,Santos,Cruzeiro,2.0,0.0
2006,17,Vasco da Gama,São Caetano,1.0,2.0
2006,18,Corinthians,Botafogo,1.0,0.0
2006,18,Cruzeiro,São Paulo,2.0,2.0
2006,18,Figueirense FC,Atlético-PR,3.0,3.0
2006,18,Flamengo,Grêmio,1.0,0.0
2006,18,Fluminense,Santa Cruz,1.0,1.0
2006,18,Fortaleza,Juventude,4.0,1.0
2006,18,Internacional,Palmeiras,1.0,1.0
2006,18,Paraná,São Caetano,1.0,0.0
2006,18,Ponte Preta,Goiás,3.0,2.0
2006,18,Santos,Vasco da Gama,0.0,2.0
2006,19,Atlético-PR,Ponte Preta,3.0,0.0
2006,19,Botafogo,Cruzeiro,1.0,0.0
2006,19,Goiás,Internacional,2.0,2.0
2006,19,Grêmio,Fortaleza,4.0,1.0
2006,19,Juventude,Corinthians,0.0,0.0
2006,19,Palmeiras,Fluminense,3.0,0.0
2006,19,Santa Cruz,Santos,1.0,1.0
2006,19,São Caetano,Flamengo,2.0,2.0
2006,19,São Paulo,Paraná,3.0,2.0
2006,19,Vasco da Gama,Figueirense FC,3.0,1.0
2006,20,Corinthians,Grêmio,0.0,2.0
2006,20,Cruzeiro,São Caetano,3.0,0.0
2006,20,Figueirense FC,Santa Cruz,2.0,0.0
2006,20,Flamengo,São Paulo,1.0,1.0
2006,20,Fluminense,Atlético-PR,1.0,2.0
2006,20,Fortaleza,Botafogo,2.0,3.0
2006,20,Internacional,Vasco da Gama,1.0,2.0
2006,20,Paraná,Juventude,0.0,1.0
2006,20,Ponte Preta,Palmeiras,1.0,1.0
2006,20,Santos,Goiás,2.0,1.0
2006,21,Atlético-PR,Santos,2.0,1.0
2006,21,Botafogo,Paraná,4.0,0.0
2006,21,Goiás,Fluminense,3.0,1.0
2006,21,Grêmio,Cruzeiro,2.0,1.0
2006,21,Juventude,Flamengo,1.0,0.0
2006,21,Palmeiras,Figueirense FC,1.0,1.0
2006,21,Santa Cruz,Internacional,0.0,2.0
2006,21,São Caetano,Corinthians,0.0,1.0
2006,21,São Paulo,Fortaleza,1.0,1.0
2006,21,Vasco da Gama,Ponte Preta,2.0,2.0
2006,22,Atlético-PR,Botafogo,0.0,5.0
2006,22,Corinthians,Ponte Preta,1.0,0.0
2006,22,Cruzeiro,Figueirense FC,2.0,2.0
2006,22,Flamengo,Internacional,1.0,2.0
2006,22,Fluminense,Vasco da Gama,1.0,1.0
2006,22,Goiás,Juventude,2.0,0.0
2006,22,Grêmio,Paraná,2.0,1.0
2006,22,Santa Cruz,São Paulo,1.0,3.0
2006,22,Santos,Palmeiras,5.0,1.0
2006,22,São Caetano,Fortaleza,0.0,0.0
2006,23,Botafogo,Flamengo,0.0,2.0
2006,23,Figueirense FC,Goiás,2.0,2.0
2006,23,Fortaleza,Santos,1.0,1.0
2006,23,Internacional,Atlético-PR,2.0,0.0
2006,23,Juventude,Cruzeiro,2.0,0.0
2006,23,Palmeiras,São Caetano,3.0,1.0
2006,23,Paraná,Fluminense,1.0,0.0
2006,23,Ponte Preta,Santa Cruz,2.0,0.0
2006,23,São Paulo,Corinthians,0.0,0.0
2006,23,Vasco da Gama,Grêmio,1.0,1.0
2006,24,Atlético-PR,Santa Cruz,2.0,1.0
2006,24,Corinthians,Paraná,1.0,0.0
2006,24,Cruzeiro,Palmeiras,1.0,0.0
2006,24,Fluminense,Figueirense FC,2.0,0.0
2006,24,Fortaleza,Flamengo,3.0,4.0
2006,24,Grêmio,Botafogo,4.0,0.0
2006,24,Juventude,São Caetano,1.0,0.0
2006,24,Ponte Preta,Santos,1.0,0.0
2006,24,São Paulo,Internacional,2.0,0.0
2006,24,Vasco da Gama,Goiás,0.0,0.0
2006,25,Botafogo,Juventude,2.0,1.0
2006,25,Corinthians,Vasco da Gama,1.0,1.0
2006,25,Figueirense FC,Internacional,1.0,0.0
2006,25,Flamengo,Cruzeiro,1.0,0.0
2006,25,Goiás,Atlético-PR,2.0,2.0
2006,25,Grêmio,Ponte Preta,4.0,0.0
2006,25,Paraná,Fortaleza,2.0,0.0
2006,25,Santa Cruz,Palmeiras,3.0,2.0
2006,25,Santos,Fluminense,1.0,1.0
2006,25,São Caetano,São Paulo,0.0,1.0
2006,26,Atlético-PR,São Caetano,3.0,1.0
2006,26,Figueirense FC,Paraná,0.0,1.0
2006,26,Fluminense,Fortaleza,1.0,3.0
