ano_campeonato,rodada,time_mandante,time_visitante,gols_mandante,gols_visitante
2026,1,BOT,CRU,4,0
2026,1,CAM,PAL,2,2
2026,1,CFC,RBB,0,1
2026,1,CHA,SAN,4,2
2026,1,COR,BAH,1,2
2026,1,FLU,GRE,2,1
2026,1,INT,CAP,0,1
2026,1,MIR,VAS,2,1
2026,1,SAO,FLA,2,1
2026,1,VIT,REM,2,0
2026,2,BAH,FLU,1,1
2026,2,CAP,COR,0,1
2026,2,CRU,CFC,1,2
2026,2,FLA,INT,1,1
2026,2,GRE,BOT,5,3
2026,2,PAL,VIT,5,1
2026,2,RBB,CAM,1,0
2026,2,REM,MIR,2,2
2026,2,SAN,SAO,1,1
2026,2,VAS,CHA,1,1
2026,3,CAM,REM,3,3
2026,3,CAP,SAN,2,1
2026,3,CHA,CFC,3,3
2026,3,COR,RBB,2,0
2026,3,FLU,BOT,1,0
2026,3,INT,PAL,1,3
2026,3,MIR,CRU,2,2
2026,3,SAO,GRE,2,0
2026,3,VAS,BAH,0,1
2026,3,VIT,FLA,1,2
2026,4,BAH,CHA,,
2026,4,BOT,VIT,,
2026,4,CFC,SAO,0,1
2026,4,CRU,COR,1,1
2026,4,FLA,MIR,,
2026,4,GRE,CAM,2,1
2026,4,PAL,FLU,2,1
2026,4,RBB,CAP,1,1
2026,4,REM,INT,1,1
2026,4,SAN,VAS,2,1
2026,5,BAH,VIT,1,1
2026,5,CAM,INT,1,0
2026,5,CAP,BOT,4,1
2026,5,COR,CFC,0,2
2026,5,FLA,CRU,2,0
2026,5,GRE,RBB,1,1
2026,5,MIR,SAN,2,2
2026,5,REM,FLU,0,2
2026,5,SAO,CHA,2,0
2026,5,VAS,PAL,2,1
2026,6,BOT,FLA,0,3
2026,6,CFC,REM,1,0
2026,6,CHA,GRE,1,1
2026,6,CRU,VAS,3,3
2026,6,FLU,CAP,3,2
2026,6,INT,BAH,0,1
2026,6,PAL,MIR,1,0
2026,6,RBB,SAO,1,2
2026,6,SAN,COR,1,1
2026,6,VIT,CAM,2,0
2026,7,BAH,RBB,2,0
2026,7,CAM,SAO,1,0
2026,7,CAP,CRU,2,1
2026,7,CHA,COR,0,0
2026,7,FLA,REM,3,0
2026,7,GRE,VIT,2,0
2026,7,MIR,CFC,0,1
2026,7,PAL,BOT,2,1
2026,7,SAN,INT,1,2
2026,7,VAS,FLU,3,2
2026,8,CAP,CFC,2,0
2026,8,COR,FLA,1,1
2026,8,CRU,SAN,0,0
2026,8,FLU,CAM,1,0
2026,8,INT,CHA,2,0
2026,8,RBB,BOT,1,2
2026,8,REM,BAH,4,1
2026,8,SAO,PAL,0,1
2026,8,VAS,GRE,2,1
2026,8,VIT,MIR,1,0
2026,9,BAH,CAP,3,0
2026,9,BOT,MIR,3,2
2026,9,CFC,VAS,1,1
2026,9,CHA,CAM,0,4
2026,9,CRU,VIT,3,0
2026,9,FLU,COR,3,1
2026,9,INT,SAO,1,1
2026,9,PAL,GRE,2,1
2026,9,RBB,FLA,3,0
2026,9,SAN,REM,2,0
2026,10,BAH,PAL,1,2
2026,10,CAM,CAP,2,1
2026,10,CFC,FLU,1,1
2026,10,CHA,VIT,1,1
2026,10,COR,INT,0,1
2026,10,FLA,SAN,3,1
2026,10,GRE,REM,0,0
2026,10,MIR,RBB,0,1
2026,10,SAO,CRU,4,1
2026,10,VAS,BOT,1,2
2026,11,BOT,CFC,2,2
2026,11,CAP,CHA,2,0
2026,11,COR,PAL,0,0
2026,11,CRU,RBB,2,1
2026,11,FLU,FLA,1,2
2026,11,INT,GRE,0,0
2026,11,MIR,BAH,1,2
2026,11,REM,VAS,1,1
2026,11,SAN,CAM,1,0
2026,11,VIT,SAO,2,0
2026,12,CFC,CAM,2,0
2026,12,CHA,BOT,1,4
2026,12,CRU,GRE,2,0
2026,12,FLA,BAH,2,0
2026,12,INT,MIR,1,2
2026,12,PAL,CAP,1,0
2026,12,RBB,REM,4,2
2026,12,SAN,FLU,2,3
2026,12,VAS,SAO,2,1
2026,12,VIT,COR,0,0
2026,13,BAH,SAN,2,2
2026,13,BOT,INT,2,2
2026,13,CAM,FLA,0,4
2026,13,CAP,VIT,3,1
2026,13,COR,VAS,1,0
2026,13,FLU,CHA,2,1
2026,13,GRE,CFC,1,0
2026,13,RBB,PAL,0,1
2026,13,REM,CRU,0,1
2026,13,SAO,MIR,1,0
2026,14,BOT,REM,1,2
2026,14,CAP,GRE,0,0
2026,14,CHA,RBB,1,2
2026,14,CRU,CAM,1,3
2026,14,FLA,VAS,2,2
2026,14,INT,FLU,2,0
2026,14,MIR,COR,2,1
2026,14,PAL,SAN,1,1
2026,14,SAO,BAH,2,2
2026,14,VIT,CFC,4,1
2026,15,BAH,CRU,1,2
2026,15,CAM,BOT,,
